recitationId,audioDuration,audioSampleRate,audioNumChannels,audioBitrate
24035,22.6026,44100,2,320
28079,80.485375,44100,1,128
26857,122.017925,44100,2,320
235,24.984,32000,1,55
18554,167.3925625,44100,1,128
15543,164.1012,44100,1,320
28334,223.18133333333333,48000,1,192
16033,98.638325,44100,1,320
19761,71.3141875,44100,1,128
17498,142.132125,44100,1,128
12822,64.2960544217687,44100,2,272
2118,15.402,44100,2,64
20988,106.866875,44100,1,128
17407,96.3395,44100,1,128
16078,29.100375,44100,2,128
24073,21.9762,44100,1,320
1382,101.74984126984127,44100,1,64
15897,124.8914,44100,1,320
26465,93.622825,44100,2,320
26298,322.51733333333334,48000,2,192
26664,62.561625,44100,1,128
221,29.7,32000,1,57
13436,153.80895,44100,1,320
2664,53.259625,48000,1,64
27559,99.631,44100,2,320
22649,1232.52,48000,2,64
2186,139.8695238095238,44100,1,64
15753,96.757525,44100,1,320
1332,165.59935714285714,44100,2,112
19282,132.153375,44100,1,128
9781,193.4098125,44100,2,128
16762,167.38283446712018,44100,2,184
4006,38.4521875,44100,2,128
27640,119.01385,44100,2,320
6727,93.788875,16000,2,116
18027,135.4448125,44100,1,128
15222,79.595075,44100,1,320
3500,93.43709750566893,44100,2,130
3491,231.2454648526077,44100,1,64
26432,75.56,48000,1,128
1591,121.07757142857143,44100,2,112
17335,172.98275,44100,1,128
16566,91.79425,44100,2,128
26231,912.2448979591836,44100,1,98
2230,40.714625,44100,2,64
27617,124.4212,44100,2,320
20325,156.133875,44100,1,64
3309,262.2334240362812,44100,1,64
5661,95.73875,44100,2,128
22206,63.24,48000,2,64
19893,104.124,44100,1,128
18786,182.71219954648527,44100,2,186
15879,135.967325,44100,1,320
13714,140.43425,44100,1,320
17780,152.71175,44100,1,128
1461,100.58884353741496,44100,1,64
83,68.3190022675737,44100,1,64
28502,32.937625,44100,1,128
13081,80.58775510204082,44100,1,192
12508,120.790175,44100,1,320
20425,92.630125,44100,1,128
27409,181.342,44100,1,64
10090,174.82725,44100,2,128
19658,84.453875,44100,1,64
1469,115.80081632653061,44100,1,64
15788,109.113425,44100,1,320
6786,19.228344671201814,44100,2,259
22352,100.048875,44100,1,128
20776,114.20725,44100,1,128
2290,14.853375,44100,2,64
10393,198.4122,44100,2,320
492,64.51501133786849,44100,1,64
18853,210.3535,48000,1,224
23562,156.682425,44100,2,320
18371,103.1313125,44100,1,128
17645,174.47175,44100,1,128
21487,2174.701875,44100,2,128
23303,191.6675,44100,1,128
26437,125.384,48000,1,128
13693,123.872625,44100,1,320
9319,97.9853125,48000,2,256
9466,111.02625,44100,2,128
5172,123.17083333333333,44100,2,192
28223,242.209625,44100,1,128
16164,42.08325,44100,2,128
2319,99.95126984126985,44100,1,64
26645,103.810575,44100,2,320
4163,97.86036281179139,44100,1,64
25429,124.4478125,44100,1,128
4013,36.1273125,44100,2,128
5756,103.04219954648526,44100,1,64
22146,81.104,48000,1,128
22230,229.224375,44100,1,128
16390,124.395075,44100,1,320
15457,191.8171,44100,1,320
25492,173.270125,44100,1,128
2718,19.962,32000,1,54
11803,30.0930625,44100,2,128
19350,95.137875,44100,1,128
1732,117.984,48000,1,64
5190,102.43458333333334,44100,2,192
15807,135.053025,44100,1,320
26416,146.2079375,44100,1,128
18153,19.74855,44100,2,320
19345,119.196625,44100,1,128
12057,112.16983333333333,22050,1,96
15490,391.88897959183674,44100,2,128
17766,164.101125,44100,1,128
15366,137.74077097505668,44100,2,163
25215,178.2080625,44100,1,128
9855,204.5645625,44100,2,128
23635,155.016,16000,1,48
26486,96.809775,44100,2,320
21303,19.27825,44100,1,128
21014,25.4954375,44100,1,128
13029,100.67151927437642,44100,2,169
20474,122.5925625,44100,1,128
28434,335.9869387755102,44100,2,128
18744,168.94839002267574,44100,2,173
5029,129.4106875,44100,1,128
23718,107.904,48000,2,192
21062,449.34025,44100,2,128
12166,135.053025,44100,1,320
15728,207.59510204081633,44100,1,64
20195,142.9419375,44100,1,128
21486,361.9345,44100,2,128
1648,132.39,32000,1,55
28268,116.6105,44100,1,128
1538,18.504,48000,1,64
27630,431.9869387755102,44100,2,128
19336,168.34735,44100,2,320
20688,132.33632653061224,44100,1,64
11742,127.86935,44100,1,320
18264,93.857875,44100,1,128
26867,74.6318,44100,2,320
27230,46.871,44100,1,128
27217,102.862875,44100,1,128
27826,116.323225,44100,2,320
28162,151.3534693877551,44100,2,128
1858,45.54725,44100,2,64
3734,138.73573696145124,44100,2,177
15432,156.107725,44100,1,320
16087,28.96975,44100,2,128
2671,181.35675,48000,1,64
