poemId,poemFullTitle,poemFullUrl,audioTitle,audioArtist,recitationId
1267,خیام » رباعیات » رباعی شمارهٔ ۱۴۹,/khayyam/robaee/sh149,رباعی شمارهٔ ۱۴۹,داوود ملک زاده,1663
1267,خیام » رباعیات » رباعی شمارهٔ ۱۴۹,/khayyam/robaee/sh149,رباعی شمارهٔ ۱۴۹,زهرا بهمنی,16132
1267,خیام » رباعیات » رباعی شمارهٔ ۱۴۹,/khayyam/robaee/sh149,رباعی شمارهٔ ۱۴۹,نازنین بازیان,21497
1267,خیام » رباعیات » رباعی شمارهٔ ۱۴۹,/khayyam/robaee/sh149,رباعی شمارهٔ ۱۴۹,علی قلندری,24134
1401,فردوسی » شاهنامه » منوچهر » بخش ۲۴,/ferdousi/shahname/manoochehr/sh24,بخش ۲۴,فرشید ربانی,18995
1401,فردوسی » شاهنامه » منوچهر » بخش ۲۴,/ferdousi/shahname/manoochehr/sh24,بخش ۲۴,محمدیزدانی جوینده,22231
1405,فردوسی » شاهنامه » منوچهر » بخش ۲۸,/ferdousi/shahname/manoochehr/sh28,بخش ۲۸,محمدیزدانی جوینده,22235
3147,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۵۲۳,/moulavi/shams/ghazalsh/sh523,غزل شمارهٔ ۵۲۳,عندلیب,13355
1280,خیام » رباعیات » رباعی شمارهٔ ۱۶۲,/khayyam/robaee/sh162,رباعی شمارهٔ ۱۶۲,داوود ملک زاده,1675
1280,خیام » رباعیات » رباعی شمارهٔ ۱۶۲,/khayyam/robaee/sh162,رباعی شمارهٔ ۱۶۲,زهرا بهمنی,16148
1280,خیام » رباعیات » رباعی شمارهٔ ۱۶۲,/khayyam/robaee/sh162,رباعی شمارهٔ ۱۶۲,نازنین بازیان,21530
1280,خیام » رباعیات » رباعی شمارهٔ ۱۶۲,/khayyam/robaee/sh162,رباعی شمارهٔ ۱۶۲,علی قلندری,24148
2941,مولانا » دیوان شمس » غزلیات » غزل شمارهٔ ۳۱۷,/moulavi/shams/ghazalsh/sh317,غزل شمارهٔ ۳۱۷,پری ساتکنی عندلیب,12091
1260,خیام » رباعیات » رباعی شمارهٔ ۱۴۲,/khayyam/robaee/sh142,رباعی شمارهٔ ۱۴۲,داوود ملک زاده,1656
1260,خیام » رباعیات » رباعی شمارهٔ ۱۴۲,/khayyam/robaee/sh142,رباعی شمارهٔ ۱۴۲,زهرا بهمنی,9583
1260,خیام » رباعیات » رباعی شمارهٔ ۱۴۲,/khayyam/robaee/sh142,رباعی شمارهٔ ۱۴۲,نازنین بازیان,21489
1260,خیام » رباعیات » رباعی شمارهٔ ۱۴۲,/khayyam/robaee/sh142,رباعی شمارهٔ ۱۴۲,علی قلندری,24127
1339,فردوسی » شاهنامه » هوشنگ » بخش ۳,/ferdousi/shahname/hushang/sh3,بخش ۳,فرید حامد,4738
1339,فردوسی » شاهنامه » هوشنگ » بخش ۳,/ferdousi/shahname/hushang/sh3,بخش ۳,فرشید ربانی,15501
1339,فردوسی » شاهنامه » هوشنگ » بخش ۳,/ferdousi/shahname/hushang/sh3,بخش ۳,سهراب سیفی,15594
1339,فردوسی » شاهنامه » هوشنگ » بخش ۳,/ferdousi/shahname/hushang/sh3,بخش ۳,عندلیب,20127
1339,فردوسی » شاهنامه » هوشنگ » بخش ۳,/ferdousi/shahname/hushang/sh3,بخش ۳,فرهاد بشیریان,20623
1339,فردوسی » شاهنامه » هوشنگ » بخش ۳,/ferdousi/shahname/hushang/sh3,بخش ۳,محمدیزدانی جوینده,22013
1425,فردوسی » شاهنامه » کیقباد » بخش ۱,/ferdousi/shahname/kqobad/sh1,بخش ۱,عندلیب,22791
1355,فردوسی » شاهنامه » ضحاک » بخش ۱۰,/ferdousi/shahname/zahak/sh10,بخش ۱۰,فرید حامد,4783
1355,فردوسی » شاهنامه » ضحاک » بخش ۱۰,/ferdousi/shahname/zahak/sh10,بخش ۱۰,فرشید ربانی,15609
1355,فردوسی » شاهنامه » ضحاک » بخش ۱۰,/ferdousi/shahname/zahak/sh10,بخش ۱۰,فرهاد بشیریان,20980
1355,فردوسی » شاهنامه » ضحاک » بخش ۱۰,/ferdousi/shahname/zahak/sh10,بخش ۱۰,محمدیزدانی جوینده,21564
1124,خیام » رباعیات » رباعی شمارهٔ ۶,/khayyam/robaee/sh6,رباعی شمارهٔ ۶,احسان اسماعیلی,724
1124,خیام » رباعیات » رباعی شمارهٔ ۶,/khayyam/robaee/sh6,رباعی شمارهٔ ۶,زهرا بهمنی,3921
1124,خیام » رباعیات » رباعی شمارهٔ ۶,/khayyam/robaee/sh6,رباعی شمارهٔ ۶,داوود ملک زاده,1408
1124,خیام » رباعیات » رباعی شمارهٔ ۶,/khayyam/robaee/sh6,رباعی شمارهٔ ۶,نازنین بازیان,20949
1124,خیام » رباعیات » رباعی شمارهٔ ۶,/khayyam/robaee/sh6,رباعی شمارهٔ ۶,علی پورزارع,23083
1124,خیام » رباعیات » رباعی شمارهٔ ۶,/khayyam/robaee/sh6,رباعی شمارهٔ ۶,علی قلندری,23975
1210,خیام » رباعیات » رباعی شمارهٔ ۹۲,/khayyam/robaee/sh92,رباعی شمارهٔ ۹۲,داوود ملک زاده,1539
1210,خیام » رباعیات » رباعی شمارهٔ ۹۲,/khayyam/robaee/sh92,رباعی شمارهٔ ۹۲,زهرا بهمنی,16086
1210,خیام » رباعیات » رباعی شمارهٔ ۹۲,/khayyam/robaee/sh92,رباعی شمارهٔ ۹۲,نازنین بازیان,21197
1210,خیام » رباعیات » رباعی شمارهٔ ۹۲,/khayyam/robaee/sh92,رباعی شمارهٔ ۹۲,علی قلندری,24077
1428,فردوسی » شاهنامه » کیقباد » بخش ۴,/ferdousi/shahname/kqobad/sh4,بخش ۴,عندلیب,22794
